QH, QL, CNTS
0.6549, 0.0599, 368
0.6599, 0.0602, 404
0.6649, 0.0602, 477
0.6699, 0.0604, 512
0.6748, 0.0604, 537
0.6799, 0.0602, 505
0.6848, 0.0603, 412
0.6899, 0.0603, 360
0.6949, 0.0604, 347
0.6999, 0.06, 361
0.6549, 0.0804, 393
0.6599, 0.0802, 565
0.6649, 0.0805, 881
0.6699, 0.0803, 1089
0.6749, 0.08, 999
0.6799, 0.0803, 829
0.6849, 0.0802, 645
0.6899, 0.0802, 464
0.6949, 0.0803, 356
0.6999, 0.0802, 317
0.6549, 0.1005, 563
0.6599, 0.1005, 911
0.6649, 0.1005, 1332
0.6698, 0.1001, 1659
0.6749, 0.1003, 1577
0.6799, 0.1004, 1367
0.6849, 0.1005, 1063
0.6898, 0.1002, 736
0.6949, 0.1005, 490
0.6999, 0.1004, 355
0.6549, 0.1203, 821
0.6599, 0.1202, 999
0.6648, 0.1203, 1502
0.6699, 0.1203, 1798
0.6749, 0.1205, 1752
0.6798, 0.1203, 1508
0.6849, 0.1204, 1083
0.6899, 0.1203, 605
0.6949, 0.1202, 352
0.6999, 0.1203, 316
0.6549, 0.1402, 1006
0.6599, 0.1402, 1711
0.6649, 0.1405, 2375
0.6699, 0.1401, 2448
0.6749, 0.1402, 2040
0.6799, 0.1403, 1398
0.6849, 0.1404, 836
0.6899, 0.1405, 510
0.6949, 0.1404, 371
0.6999, 0.1404, 302
0.6549, 0.1604, 2350
0.6599, 0.1602, 3113
0.6648, 0.1604, 3693
0.6699, 0.1603, 3639
0.6748, 0.1604, 3031
0.6799, 0.1603, 1974
0.6849, 0.1603, 1048
0.6898, 0.1601, 460
0.6949, 0.1605, 325
0.6998, 0.1603, 359
0.6549, 0.1804, 2278
0.6599, 0.1804, 3367
0.6649, 0.1803, 3973
0.6699, 0.1803, 3933
0.6749, 0.1804, 3328
0.6798, 0.1803, 2252
0.6848, 0.1803, 1183
0.6899, 0.1802, 578
0.6949, 0.1802, 362
0.6999, 0.1804, 350
0.6549, 0.2003, 1399
0.6599, 0.2002, 2153
0.6649, 0.2003, 2766
0.6698, 0.2004, 2837
0.6749, 0.2003, 2074
0.6799, 0.1999, 1265
0.6849, 0.2004, 680
0.6899, 0.2003, 409
0.6948, 0.2004, 337
0.6999, 0.2004, 336
0.6548, 0.2202, 928
0.6598, 0.2202, 1233
0.6648, 0.2202, 1368
0.6699, 0.2203, 1373
0.6749, 0.2202, 980
0.6799, 0.2202, 601
0.6849, 0.2202, 432
0.6899, 0.2202, 371
0.6948, 0.2202, 296
0.6999, 0.2203, 321
0.6549, 0.2399, 688
0.6599, 0.2403, 954
0.6649, 0.2404, 1131
0.6699, 0.2399, 1043
0.6749, 0.2404, 789
0.6799, 0.2401, 521
0.6849, 0.2403, 349
0.6898, 0.2404, 318
0.6948, 0.2402, 297
0.6999, 0.2404, 311
0.6549, 0.2599, 607
0.6599, 0.2602, 742
0.6648, 0.2604, 760
0.6698, 0.2603, 739
0.6749, 0.2601, 655
0.6798, 0.2602, 477
0.6849, 0.2602, 425
0.6899, 0.2601, 375
0.6949, 0.2603, 335
0.6999, 0.2605, 312
