QH, QL, CNTS
0.2549, 0.0602, 419
0.2599, 0.0602, 433
0.2649, 0.0601, 441
0.2699, 0.0603, 466
0.2749, 0.0602, 456
0.2799, 0.0603, 436
0.2849, 0.0603, 439
0.2899, 0.0603, 461
0.2949, 0.0602, 423
0.2999, 0.0603, 418
0.3048, 0.0602, 461
0.3099, 0.0603, 433
0.3149, 0.0602, 472
0.3198, 0.0601, 463
0.3249, 0.0602, 506
0.3299, 0.0603, 520
0.3349, 0.0603, 562
0.3399, 0.0603, 526
0.3449, 0.0604, 533
0.3499, 0.0603, 495
0.3548, 0.0602, 453
0.3598, 0.0602, 425
0.3649, 0.0603, 377
0.3699, 0.0603, 405
0.3749, 0.0602, 409
0.3799, 0.0603, 405
0.3848, 0.0602, 400
0.3899, 0.0603, 406
0.3948, 0.0602, 388
0.3999, 0.0603, 436
0.2549, 0.0802, 418
0.2599, 0.0803, 442
0.2648, 0.0802, 443
0.2699, 0.0803, 449
0.2749, 0.0803, 466
0.2799, 0.0801, 465
0.2849, 0.0803, 448
0.2899, 0.0803, 424
0.2949, 0.0802, 446
0.2999, 0.0803, 464
0.3049, 0.0801, 437
0.3099, 0.0802, 456
0.3148, 0.0802, 515
0.3199, 0.0803, 483
0.3249, 0.0803, 527
0.3299, 0.0803, 575
0.3349, 0.0802, 573
0.3399, 0.0803, 535
0.3449, 0.0803, 551
0.3498, 0.0803, 451
0.3549, 0.0803, 436
0.3599, 0.0802, 399
0.3649, 0.0803, 475
0.3699, 0.0802, 384
0.3749, 0.0802, 414
0.3798, 0.0801, 461
0.3849, 0.0803, 352
0.3899, 0.0803, 415
0.3949, 0.0803, 391
0.3999, 0.0802, 407
0.2549, 0.1002, 428
0.2599, 0.1002, 475
0.2649, 0.1002, 465
0.2698, 0.1002, 445
0.2749, 0.1002, 430
0.2799, 0.1003, 428
0.2848, 0.1003, 453
0.2899, 0.1001, 434
0.2949, 0.1002, 424
0.2999, 0.1003, 439
0.3049, 0.1003, 465
0.3098, 0.1003, 507
0.3148, 0.1002, 684
0.3199, 0.1003, 837
0.3249, 0.1003, 978
0.3298, 0.1002, 1100
0.3349, 0.1003, 1091
0.3398, 0.1003, 950
0.3449, 0.1003, 869
0.3499, 0.1003, 685
0.3548, 0.1002, 467
0.3599, 0.1002, 425
0.3649, 0.1003, 415
0.3699, 0.1003, 395
0.3749, 0.1002, 402
0.3799, 0.1001, 372
0.3848, 0.1002, 385
0.3899, 0.1003, 405
0.3949, 0.1003, 367
0.3999, 0.1004, 372
0.2549, 0.1203, 415
0.2599, 0.1203, 448
0.2648, 0.1202, 457
0.2699, 0.1203, 437
0.2749, 0.1202, 439
0.2799, 0.1202, 422
0.2849, 0.1202, 420
0.2899, 0.1203, 437
0.2949, 0.1203, 457
0.2998, 0.1203, 453
0.3048, 0.1202, 480
0.3098, 0.1202, 515
0.3148, 0.1203, 558
0.3198, 0.1202, 602
0.3249, 0.1204, 753
0.3299, 0.1203, 1006
0.3349, 0.1203, 1161
0.3399, 0.1203, 1250
0.3449, 0.1202, 999
0.3499, 0.1202, 787
0.3548, 0.1203, 605
0.3599, 0.1203, 487
0.3649, 0.1203, 379
0.3699, 0.1204, 449
0.3749, 0.1202, 383
0.3799, 0.1202, 376
