#
# Takin/Monteconvo version 2.6.0
# MC neutrons: 1000
# MC sample steps: 1
#
# h          k            l            E            S(Q,E)      
0.2          0.2          1            0            0.531825    
0.2          0.2          1            0.01         0.492842    
0.2          0.2          1            0.02         0.462002    
0.2          0.2          1            0.03         0.368087    
0.2          0.2          1            0.04         0.281401    
0.2          0.2          1            0.05         0.201646    
0.2          0.2          1            0.06         0.122713    
0.2          0.2          1            0.07         0.0745362   
0.2          0.2          1            0.08         0.0400061   
0.2          0.2          1            0.09         0.0186465   
0.2          0.2          1            0.1          0.00838914  
0.2          0.2          1            0.11         0.00506721  
0.2          0.2          1            0.12         0.00207273  
0.2          0.2          1            0.13         0.00067393  
0.2          0.2          1            0.14         0.000191126 
0.2          0.2          1            0.15         2.0147e-05  
0.2          0.2          1            0.16         3.37407e-06 
0.2          0.2          1            0.17         1.61735e-07 
0.2          0.2          1            0.18         7.56214e-07 
0.2          0.2          1            0.19         1.39864e-08 
0.2          0.2          1            0.2          5.34467e-11 
0.2          0.2          1            0.21         7.03294e-12 
0.2          0.2          1            0.22         1.95264e-10 
0.2          0.2          1            0.23         6.05738e-11 
0.2          0.2          1            0.24         6.3168e-18  
0.2          0.2          1            0.25         9.94621e-19 
0.2          0.2          1            0.26         6.17969e-18 
0.2          0.2          1            0.27         4.95304e-18 
0.2          0.2          1            0.28         5.6412e-22  
0.2          0.2          1            0.29         5.49415e-24 
0.2          0.2          1            0.3          5.69559e-29 
0.2          0.2          1            0.31         3.3618e-26  
0.2          0.2          1            0.32         1.32706e-28 
0.2          0.2          1            0.33         1.25272e-27 
0.2          0.2          1            0.34         8.53491e-26 
0.2          0.2          1            0.35         2.5002e-22  
0.2          0.2          1            0.36         1.439e-22   
0.2          0.2          1            0.37         7.68217e-22 
0.2          0.2          1            0.38         1.46069e-17 
0.2          0.2          1            0.39         4.97534e-15 
0.2          0.2          1            0.4          6.19296e-17 
0.2          0.2          1            0.41         3.16584e-14 
0.2          0.2          1            0.42         1.43312e-13 
0.2          0.2          1            0.43         2.09053e-14 
0.2          0.2          1            0.44         1.28841e-11 
0.2          0.2          1            0.45         7.41214e-12 
0.2          0.2          1            0.46         3.84544e-10 
0.2          0.2          1            0.47         4.28714e-10 
0.2          0.2          1            0.48         5.26971e-10 
0.2          0.2          1            0.49         2.77463e-09 
0.2          0.2          1            0.5          3.40155e-08 
0.2          0.2          1            0.51         1.86743e-07 
0.2          0.2          1            0.52         3.29867e-07 
0.2          0.2          1            0.53         1.3756e-06  
0.2          0.2          1            0.54         3.70097e-06 
0.2          0.2          1            0.55         9.15862e-06 
0.2          0.2          1            0.56         1.79353e-05 
0.2          0.2          1            0.57         3.8008e-05  
0.2          0.2          1            0.58         7.8292e-05  
0.2          0.2          1            0.59         0.000124186 
0.2          0.2          1            0.6          0.000196535 
0.2          0.2          1            0.61         0.000287259 
0.2          0.2          1            0.62         0.000416768 
0.2          0.2          1            0.63         0.000528721 
