RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
  075104       1       0                                                        
ILL TAS data in the new ASCII format follow afte the line VV..V                 
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      80                                                                        
IN12  internal use08-Apr-24 11:18:52                                            
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: IN12
USER_: internal use
FILE_: 075104
DATE_: 08-Apr-24 11:18:52
TITLE: Internal use
TYPE_: tas
COMND: sc en 0 den 0.01 np 31 ti 1
POSQE: QH=  -0.3599, QK=   0.0000, QL=   0.8426, EN=  -0.1505, UN=meV
CURVE: MONO= auto, ANA= auto
STEPS: EN=   0.0100
PARAM: GONIO= 0
PARAM: DM=   3.35500, DA=   3.34200, KFIX=   1.10009
PARAM: SM= -1, SS=  1, SA= -1, FX=  2
PARAM: ALF1= 120.00, ALF2= 120.00, ALF3=  43.00, ALF4= 120.00
PARAM: BET1= 120.00, BET2= 120.00, BET3= 120.00, BET4= 120.00
PARAM: ETAM=  35.00, ETAA=  35.00
PARAM: AS=   6.28000, BS=   6.28000, CS=   6.28000
PARAM: AA=  90.00000, BB=  90.00000, CC=  90.00000, ETAS=   1.00000
PARAM: AX=  1.000, AY=  0.000, AZ=  0.000
PARAM: BX=  0.000, BY=  0.000, BZ=  1.000
VARIA: SELPOS=in
VARIA: SELSPEED=  10519
VARIA: A1      = -61.37, A2      =-122.79, A3      =  -0.01, A4      =  50.03
VARIA: A5      = -58.71, A6      =-117.41, GU      =   0.04, GL      =  -0.04
VARIA: A3P     =-326.45, GA      =   2.60, GM      =   0.01, RA      =  24.60
VARIA: RMV     =  28.25, RMH     =  82.97, TA      =   4.50, TM      =  -3.97
VARIA: GC      =  -0.01, DIA1X   =  62.24, DIA2X   =  87.92, DIA2Z   = 162.15
VARIA: I1      =   0.00, I2      =  -0.00, I3      =  -0.01, I4      =   0.00
VARIA: I5      =  -3.90, I6      =   1.65, I7      =   0.00, I8      =   0.00
VARIA: IH1     =   0.00, IH2     =   0.00
ZEROS: A1      =  -2.01, A2      =  -0.13, A3      =-180.00, A4      =  -0.23
ZEROS: A5      = -89.55, A6      =   0.17, GU      =   0.00, GL      =   0.00
ZEROS: A3P     =-125.45, GA      =   0.00, GM      =   0.00, RA      =   0.00
ZEROS: RMV     =   0.00, RMH     =   0.00, TA      =   0.00, TM      =   0.00
ZEROS: GC      =   0.00, DIA1X   =   0.00, DIA2X   =   0.00, DIA2Z   =   0.00
PARAM: IF1H=     1.555, IF1V=    -3.900, IF2H=     1.467, IF2V=     4.276
PARAM: TI=      1.00
PARAM: TT=      0.00, RT=      0.00
PARAM: REACTOR=54.69
FORMT:
DATA_:
Qh          Qk          Ql          En          CNTS
0.3          0.3          1.0            0          0.532592
0.3          0.3          1.0            0.010101     0.512517          nan
0.3          0.3          1.0            0.020202     0.442504          nan
0.3          0.3          1.0            0.030303     0.364475          nan
0.3          0.3          1.0            0.040404     0.284619          nan
0.3          0.3          1.0            0.0505051    0.200665          nan
0.3          0.3          1.0            0.0606061    0.113194          nan
0.3          0.3          1.0            0.0707071    0.0632622          nan
0.3          0.3          1.0            0.0808081    0.0358169          nan
0.3          0.3          1.0            0.0909091    0.0187026          nan
0.3          0.3          1.0            0.10101      0.0101971          nan
0.3          0.3          1.0            0.111111     0.00287636          nan
0.3          0.3          1.0            0.121212     0.00144482          nan
0.3          0.3          1.0            0.131313     0.00100897          nan
0.3          0.3          1.0            0.141414     0.000127533          nan
0.3          0.3          1.0            0.151515     6.35545e-06          nan
0.3          0.3          1.0            0.161616     8.79718e-06          nan
0.3          0.3          1.0            0.171717     3.96661e-06          nan
0.3          0.3          1.0            0.181818     1.13611e-08          nan
0.3          0.3          1.0            0.191919     1.18454e-08          nan
0.3          0.3          1.0            0.20202      2.12707e-10          nan
0.3          0.3          1.0            0.212121     1.34611e-11          nan
0.3          0.3          1.0            0.222222     8.88134e-10          nan
0.3          0.3          1.0            0.232323     6.72218e-10          nan
0.3          0.3          1.0            0.242424     1.52197e-08          nan
0.3          0.3          1.0            0.252525     1.44209e-07          nan
0.3          0.3          1.0            0.262626     4.20414e-05          nan
0.3          0.3          1.0            0.272727     7.71313e-06          nan
0.3          0.3          1.0            0.282828     0.000298617          nan
0.3          0.3          1.0            0.292929     0.000551048          nan
0.3          0.3          1.0            0.30303      0.000664955          nan
0.3          0.3          1.0            0.313131     0.000666823          nan
0.3          0.3          1.0            0.323232     0.0023371          nan
0.3          0.3          1.0            0.333333     0.0077699          nan
0.3          0.3          1.0            0.343434     0.0166899          nan
0.3          0.3          1.0            0.353535     0.0277686          nan
0.3          0.3          1.0            0.363636     0.0464944          nan
0.3          0.3          1.0            0.373737     0.0749971          nan
0.3          0.3          1.0            0.383838     0.0856368          nan
0.3          0.3          1.0            0.393939     0.134241          nan
0.3          0.3          1.0            0.40404      0.172888          nan
0.3          0.3          1.0            0.414141     0.212885          nan
0.3          0.3          1.0            0.424242     0.240262          nan
0.3          0.3          1.0            0.434343     0.281723          nan
0.3          0.3          1.0            0.444444     0.288582          nan
0.3          0.3          1.0            0.454545     0.30031          nan
0.3          0.3          1.0            0.464646     0.305138          nan
0.3          0.3          1.0            0.474747     0.284391          nan
0.3          0.3          1.0            0.484848     0.280119          nan
0.3          0.3          1.0            0.494949     0.244788          nan
0.3          0.3          1.0            0.505051     0.213767          nan
0.3          0.3          1.0            0.515152     0.191253          nan
0.3          0.3          1.0            0.525253     0.161072          nan
0.3          0.3          1.0            0.535354     0.132508          nan
0.3          0.3          1.0            0.545455     0.117899          nan
0.3          0.3          1.0            0.555556     0.103115          nan
0.3          0.3          1.0            0.565657     0.0653327          nan
0.3          0.3          1.0            0.575758     0.0504038          nan
0.3          0.3          1.0            0.585859     0.0389354          nan
0.3          0.3          1.0            0.59596      0.023621          nan
