RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
  075104       1       0                                                        
ILL TAS data in the new ASCII format follow afte the line VV..V                 
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      80                                                                        
IN12  internal use08-Apr-24 11:18:52                                            
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: IN12
USER_: internal use
FILE_: 075104
DATE_: 08-Apr-24 11:18:52
TITLE: Internal use
TYPE_: tas
COMND: sc en 0 den 0.01 np 31 ti 1
POSQE: QH=  -0.3599, QK=   0.0000, QL=   0.8426, EN=  -0.1505, UN=meV
CURVE: MONO= auto, ANA= auto
STEPS: EN=   0.0100
PARAM: GONIO= 0
PARAM: DM=   3.35500, DA=   3.34200, KFIX=   1.10009
PARAM: SM= -1, SS=  1, SA= -1, FX=  2
PARAM: ALF1= 120.00, ALF2= 120.00, ALF3=  43.00, ALF4= 120.00
PARAM: BET1= 120.00, BET2= 120.00, BET3= 120.00, BET4= 120.00
PARAM: ETAM=  35.00, ETAA=  35.00
PARAM: AS=   6.28000, BS=   6.28000, CS=   6.28000
PARAM: AA=  90.00000, BB=  90.00000, CC=  90.00000, ETAS=   1.00000
PARAM: AX=  1.000, AY=  0.000, AZ=  0.000
PARAM: BX=  0.000, BY=  0.000, BZ=  1.000
VARIA: SELPOS=in
VARIA: SELSPEED=  10519
VARIA: A1      = -61.37, A2      =-122.79, A3      =  -0.01, A4      =  50.03
VARIA: A5      = -58.71, A6      =-117.41, GU      =   0.04, GL      =  -0.04
VARIA: A3P     =-326.45, GA      =   2.60, GM      =   0.01, RA      =  24.60
VARIA: RMV     =  28.25, RMH     =  82.97, TA      =   4.50, TM      =  -3.97
VARIA: GC      =  -0.01, DIA1X   =  62.24, DIA2X   =  87.92, DIA2Z   = 162.15
VARIA: I1      =   0.00, I2      =  -0.00, I3      =  -0.01, I4      =   0.00
VARIA: I5      =  -3.90, I6      =   1.65, I7      =   0.00, I8      =   0.00
VARIA: IH1     =   0.00, IH2     =   0.00
ZEROS: A1      =  -2.01, A2      =  -0.13, A3      =-180.00, A4      =  -0.23
ZEROS: A5      = -89.55, A6      =   0.17, GU      =   0.00, GL      =   0.00
ZEROS: A3P     =-125.45, GA      =   0.00, GM      =   0.00, RA      =   0.00
ZEROS: RMV     =   0.00, RMH     =   0.00, TA      =   0.00, TM      =   0.00
ZEROS: GC      =   0.00, DIA1X   =   0.00, DIA2X   =   0.00, DIA2Z   =   0.00
PARAM: IF1H=     1.555, IF1V=    -3.900, IF2H=     1.467, IF2V=     4.276
PARAM: TI=      1.00
PARAM: TT=      0.00, RT=      0.00
PARAM: REACTOR=54.69
FORMT:
DATA_:
Qh          Qk          Ql          En          CNTS
0.39697      0.39697      1            0.989899     3.83785e-66          nan          None          nan
0.4          0.4          1.0            0          0.532129
0.4          0.4          1.0            0.010101     0.501572          nan
0.4          0.4          1.0            0.020202     0.438473          nan
0.4          0.4          1.0            0.030303     0.349786          nan
0.4          0.4          1.0            0.040404     0.293929          nan
0.4          0.4          1.0            0.0505051    0.182061          nan
0.4          0.4          1.0            0.0606061    0.116956          nan
0.4          0.4          1.0            0.0707071    0.0801435          nan
0.4          0.4          1.0            0.0808081    0.0366258          nan
0.4          0.4          1.0            0.0909091    0.021689          nan
0.4          0.4          1.0            0.10101      0.00860435          nan
0.4          0.4          1.0            0.111111     0.00324491          nan
0.4          0.4          1.0            0.121212     0.00178726          nan
0.4          0.4          1.0            0.131313     0.000134037          nan
0.4          0.4          1.0            0.141414     0.000560416          nan
0.4          0.4          1.0            0.151515     8.69908e-06          nan
0.4          0.4          1.0            0.161616     4.73042e-06          nan
0.4          0.4          1.0            0.171717     9.59361e-07          nan
0.4          0.4          1.0            0.181818     5.49015e-08          nan
0.4          0.4          1.0            0.191919     3.0113e-07          nan
0.4          0.4          1.0            0.20202      2.89838e-07          nan
0.4          0.4          1.0            0.212121     4.61375e-08          nan
0.4          0.4          1.0            0.222222     0.000431035          nan
0.4          0.4          1.0            0.232323     5.66813e-05          nan
0.4          0.4          1.0            0.242424     4.01284e-05          nan
0.4          0.4          1.0            0.252525     6.46832e-05          nan
0.4          0.4          1.0            0.262626     0.000499118          nan
0.4          0.4          1.0            0.272727     0.000704094          nan
0.4          0.4          1.0            0.282828     0.00189522          nan
0.4          0.4          1.0            0.292929     0.00217168          nan
0.4          0.4          1.0            0.30303      0.00232317          nan
0.4          0.4          1.0            0.313131     0.00612409          nan
0.4          0.4          1.0            0.323232     0.0144178          nan
0.4          0.4          1.0            0.333333     0.0192597          nan
0.4          0.4          1.0            0.343434     0.0264429          nan
0.4          0.4          1.0            0.353535     0.032517          nan
0.4          0.4          1.0            0.363636     0.0498814          nan
0.4          0.4          1.0            0.373737     0.0646618          nan
0.4          0.4          1.0            0.383838     0.0739283          nan
0.4          0.4          1.0            0.393939     0.0982939          nan
0.4          0.4          1.0            0.40404      0.116153          nan
0.4          0.4          1.0            0.414141     0.132745          nan
0.4          0.4          1.0            0.424242     0.182538          nan
0.4          0.4          1.0            0.434343     0.207736          nan
0.4          0.4          1.0            0.444444     0.213277          nan
0.4          0.4          1.0            0.454545     0.229984          nan
0.4          0.4          1.0            0.464646     0.260459          nan
0.4          0.4          1.0            0.474747     0.256589          nan
0.4          0.4          1.0            0.484848     0.253985          nan
0.4          0.4          1.0            0.494949     0.249221          nan
0.4          0.4          1.0            0.505051     0.23297          nan
0.4          0.4          1.0            0.515152     0.229195          nan
0.4          0.4          1.0            0.525253     0.200178          nan
0.4          0.4          1.0            0.535354     0.19423          nan
0.4          0.4          1.0            0.545455     0.175119          nan
0.4          0.4          1.0            0.555556     0.14089          nan
0.4          0.4          1.0            0.565657     0.123986          nan
0.4          0.4          1.0            0.575758     0.0930054          nan
0.4          0.4          1.0            0.585859     0.0748294          nan
0.4          0.4          1.0            0.59596      0.060333          nan
0.4          0.4          1.0            0.606061     0.0419494          nan
0.4          0.4          1.0            0.616162     0.0301026          nan
0.4          0.4          1.0            0.626263     0.0168283          nan
0.4          0.4          1.0            0.636364     0.012833          nan
0.4          0.4          1.0            0.646465     0.00701899          nan
0.4          0.4          1.0            0.656566     0.00505758          nan
0.4          0.4          1.0            0.666667     0.00431454          nan
0.4          0.4          1.0            0.676768     0.00107247          nan
0.4          0.4          1.0            0.686869     0.00182219          nan
0.4          0.4          1.0            0.69697      0.00153637          nan
0.4          0.4          1.0            0.707071     0.000228912          nan
0.4          0.4          1.0            0.717172     0.000192145          nan
0.4          0.4          1.0            0.727273     5.21593e-05          nan
0.4          0.4          1.0            0.737374     0.000144279          nan
