#
# Takin/Monteconvo version 2.6.0
# MC neutrons: 1000
# MC sample steps: 1
#
# h          k            l            E            S(Q,E)      
0.3          0.3          1            0            0.532592    
0.3          0.3          1            0.010101     0.512517    
0.3          0.3          1            0.020202     0.442504    
0.3          0.3          1            0.030303     0.364475    
0.3          0.3          1            0.040404     0.284619    
0.3          0.3          1            0.0505051    0.200665    
0.3          0.3          1            0.0606061    0.113194    
0.3          0.3          1            0.0707071    0.0632622   
0.3          0.3          1            0.0808081    0.0358169   
0.3          0.3          1            0.0909091    0.0187026   
0.3          0.3          1            0.10101      0.0101971   
0.3          0.3          1            0.111111     0.00287636  
0.3          0.3          1            0.121212     0.00144482  
0.3          0.3          1            0.131313     0.00100897  
0.3          0.3          1            0.141414     0.000127533 
0.3          0.3          1            0.151515     6.35545e-06 
0.3          0.3          1            0.161616     8.79718e-06 
0.3          0.3          1            0.171717     3.96661e-06 
0.3          0.3          1            0.181818     1.13611e-08 
0.3          0.3          1            0.191919     1.18454e-08 
0.3          0.3          1            0.20202      2.12707e-10 
0.3          0.3          1            0.212121     1.34611e-11 
0.3          0.3          1            0.222222     8.88134e-10 
0.3          0.3          1            0.232323     6.72218e-10 
0.3          0.3          1            0.242424     1.52197e-08 
0.3          0.3          1            0.252525     1.44209e-07 
0.3          0.3          1            0.262626     4.20414e-05 
0.3          0.3          1            0.272727     7.71313e-06 
0.3          0.3          1            0.282828     0.000298617 
0.3          0.3          1            0.292929     0.000551048 
0.3          0.3          1            0.30303      0.000664955 
0.3          0.3          1            0.313131     0.000666823 
0.3          0.3          1            0.323232     0.0023371   
0.3          0.3          1            0.333333     0.0077699   
0.3          0.3          1            0.343434     0.0166899   
0.3          0.3          1            0.353535     0.0277686   
0.3          0.3          1            0.363636     0.0464944   
0.3          0.3          1            0.373737     0.0749971   
0.3          0.3          1            0.383838     0.0856368   
0.3          0.3          1            0.393939     0.134241    
0.3          0.3          1            0.40404      0.172888    
0.3          0.3          1            0.414141     0.212885    
0.3          0.3          1            0.424242     0.240262    
0.3          0.3          1            0.434343     0.281723    
0.3          0.3          1            0.444444     0.288582    
0.3          0.3          1            0.454545     0.30031     
0.3          0.3          1            0.464646     0.305138    
0.3          0.3          1            0.474747     0.284391    
0.3          0.3          1            0.484848     0.280119    
0.3          0.3          1            0.494949     0.244788    
0.3          0.3          1            0.505051     0.213767    
0.3          0.3          1            0.515152     0.191253    
0.3          0.3          1            0.525253     0.161072    
0.3          0.3          1            0.535354     0.132508    
0.3          0.3          1            0.545455     0.117899    
0.3          0.3          1            0.555556     0.103115    
0.3          0.3          1            0.565657     0.0653327   
0.3          0.3          1            0.575758     0.0504038   
