#
# Takin/Monteconvo version 2.6.0
# MC neutrons: 1000
# MC sample steps: 1
#
# h          k            l            E            S(Q,E)      
-0.5         -0.5         1            0            0.529805    
-0.5         -0.5         1            0.0151515    0.480585    
-0.5         -0.5         1            0.030303     0.352915    
-0.5         -0.5         1            0.0454545    0.234162    
-0.5         -0.5         1            0.0606061    0.117921    
-0.5         -0.5         1            0.0757576    0.0584664   
-0.5         -0.5         1            0.0909091    0.0173481   
-0.5         -0.5         1            0.106061     0.00740916  
-0.5         -0.5         1            0.121212     0.00123214  
-0.5         -0.5         1            0.136364     0.000273889 
-0.5         -0.5         1            0.151515     0.000221433 
-0.5         -0.5         1            0.166667     6.08449e-06 
-0.5         -0.5         1            0.181818     1.16775e-08 
-0.5         -0.5         1            0.19697      5.61059e-11 
-0.5         -0.5         1            0.212121     1.55008e-12 
-0.5         -0.5         1            0.227273     7.05988e-14 
-0.5         -0.5         1            0.242424     9.59046e-16 
-0.5         -0.5         1            0.257576     2.24056e-18 
-0.5         -0.5         1            0.272727     1.55802e-23 
-0.5         -0.5         1            0.287879     1.64712e-23 
-0.5         -0.5         1            0.30303      1.16442e-26 
-0.5         -0.5         1            0.318182     3.2451e-30  
-0.5         -0.5         1            0.333333     9.52267e-35 
-0.5         -0.5         1            0.348485     6.95655e-12 
-0.5         -0.5         1            0.363636     1.17452e-24 
-0.5         -0.5         1            0.378788     2.00883e-14 
-0.5         -0.5         1            0.393939     8.9655e-13  
-0.5         -0.5         1            0.409091     1.99489e-08 
-0.5         -0.5         1            0.424242     0.00146543  
-0.5         -0.5         1            0.439394     0.0126283   
-0.5         -0.5         1            0.454545     0.0385866   
-0.5         -0.5         1            0.469697     0.0840848   
-0.5         -0.5         1            0.484848     0.178242    
-0.5         -0.5         1            0.5          0.380557    
-0.5         -0.5         1            0.515152     0.466266    
-0.5         -0.5         1            0.530303     0.534586    
-0.5         -0.5         1            0.545455     0.451302    
-0.5         -0.5         1            0.560606     0.294712    
-0.5         -0.5         1            0.575758     0.189019    
-0.5         -0.5         1            0.590909     0.113252    
-0.5         -0.5         1            0.606061     0.0414031   
-0.5         -0.5         1            0.621212     0.00796133  
-0.5         -0.5         1            0.636364     0.00731228  
-0.5         -0.5         1            0.651515     1.9149e-06  
-0.5         -0.5         1            0.666667     1.26695e-12 
-0.5         -0.5         1            0.681818     5.92516e-11 
-0.5         -0.5         1            0.69697      1.21159e-35 
-0.5         -0.5         1            0.712121     6.96376e-46 
-0.5         -0.5         1            0.727273     4.42474e-40 
-0.5         -0.5         1            0.742424     2.98611e-85 
-0.5         -0.5         1            0.757576     4.90326e-82 
-0.5         -0.5         1            0.772727     6.18934e-75 
-0.5         -0.5         1            0.787879     9.35544e-154
-0.5         -0.5         1            0.80303      6.52407e-170
-0.5         -0.5         1            0.818182     1.37978e-222
-0.5         -0.5         1            0.833333     7.2082e-213 
-0.5         -0.5         1            0.848485     6.77911e-260
-0.5         -0.5         1            0.863636     0           
-0.5         -0.5         1            0.878788     0           
-0.5         -0.5         1            0.893939     0           
-0.5         -0.5         1            0.909091     0           
-0.5         -0.5         1            0.924242     0           
-0.5         -0.5         1            0.939394     0           
-0.5         -0.5         1            0.954545     0           
-0.5         -0.5         1            0.969697     0           
-0.5         -0.5         1            0.984848     0           
-0.5         -0.5         1            1            0           
-0.5         -0.5         1            1.01515      0           
-0.5         -0.5         1            1.0303       0           
-0.5         -0.5         1            1.04545      0           
-0.5         -0.5         1            1.06061      0           
-0.5         -0.5         1            1.07576      0           
-0.5         -0.5         1            1.09091      0           
-0.5         -0.5         1            1.10606      0           
-0.5         -0.5         1            1.12121      0           
-0.5         -0.5         1            1.13636      0           
-0.5         -0.5         1            1.15152      0           
-0.5         -0.5         1            1.16667      0           
-0.5         -0.5         1            1.18182      0           
-0.5         -0.5         1            1.19697      0           
-0.5         -0.5         1            1.21212      0           
-0.5         -0.5         1            1.22727      0           
-0.5         -0.5         1            1.24242      0           
-0.5         -0.5         1            1.25758      0           
-0.5         -0.5         1            1.27273      0           
-0.5         -0.5         1            1.28788      0           
-0.5         -0.5         1            1.30303      0           
-0.5         -0.5         1            1.31818      0           
-0.5         -0.5         1            1.33333      0           
-0.5         -0.5         1            1.34848      0           
-0.5         -0.5         1            1.36364      0           
-0.5         -0.5         1            1.37879      0           
-0.5         -0.5         1            1.39394      0           
-0.5         -0.5         1            1.40909      0           
-0.5         -0.5         1            1.42424      0           
-0.5         -0.5         1            1.43939      0           
-0.5         -0.5         1            1.45455      0           
-0.5         -0.5         1            1.4697       0           
-0.5         -0.5         1            1.48485      0           
-0.489899    -0.489899    1            0            0.524869    
-0.489899    -0.489899    1            0.0151515    0.482722    
-0.489899    -0.489899    1            0.030303     0.380999    
-0.489899    -0.489899    1            0.0454545    0.238649    
-0.489899    -0.489899    1            0.0606061    0.123336    
-0.489899    -0.489899    1            0.0757576    0.0544497   
-0.489899    -0.489899    1            0.0909091    0.01872     
-0.489899    -0.489899    1            0.106061     0.00847709  
-0.489899    -0.489899    1            0.121212     0.00107338  
-0.489899    -0.489899    1            0.136364     0.000202744 
-0.489899    -0.489899    1            0.151515     7.16259e-05 
-0.489899    -0.489899    1            0.166667     2.64744e-06 
-0.489899    -0.489899    1            0.181818     4.98845e-08 
-0.489899    -0.489899    1            0.19697      4.91288e-09 
