Temperature (K)	HCTotal (uJ/K)	HCSample (µJ/K)	Field (Oe)
0,57813037	11,457092	11,408747	-0,062
0,60300534	12,505927	12,458827	-0,062
0,62561366	13,479692	13,433652	-0,062
0,64641491	14,35936	14,314232	-0,062
0,66577663	15,149201	15,10487	-0,062
0,68396166	15,849807	15,806176	-0,062
0,70117286	16,483165	16,440155	-0,062
0,71755222	17,074111	17,031653	-0,062
0,73319058	17,648532	17,606566	-0,062
0,74816017	18,220082	18,178555	-0,062
0,76250766	18,801593	18,760457	-0,062
0,77627159	19,388868	19,34808	-0,062
0,7894888	19,973493	19,933013	-0,062
0,80219988	20,539409	20,499201	-0,062
0,81444536	21,088514	21,048547	-0,062
0,82625467	21,617531	21,577776	-0,062
0,83766154	22,136817	22,097247	-0,062
0,84868525	22,666481	22,627072	-0,062
0,85934923	23,2092	23,169929	-0,062
0,86965993	23,771876	23,732724	-0,062
0,8796403	24,332035	24,292983	-0,062
0,88930311	24,890538	24,851569	-0,062
0,89866408	25,433392	25,39449	-0,062
0,9077405	25,980015	25,941166	-0,062
0,91654666	26,512477	26,473667	-0,062
0,92510165	27,058761	27,019979	-0,062
0,93341349	27,588402	27,549636	-0,062
0,94149258	28,12372	28,08496	-0,062
0,94934643	28,663248	28,624484	-0,062
0,95699046	29,206967	29,168191	-0,062
0,96442879	29,755025	29,716229	-0,062
0,97166331	30,337716	30,298892	-0,062
0,97870248	30,915009	30,876152	-0,062
0,98556027	31,482631	31,443734	-0,062
0,99223923	32,067025	32,028083	-0,062
0,99874092	32,653139	32,614147	-0,062
1,0050699	33,250529	33,211482	-0,062
1,0112489	33,843128	33,804021	-0,062
1,0172587	34,518074	34,478904	-0,062
1,0231141	35,156973	35,117737	-0,062
1,0288215	35,79741	35,758104	-0,062
1,0343877	36,432713	36,393335	-0,062
1,0398045	37,174848	37,135395	-0,062
1,0450716	37,879403	37,839874	-0,062
1,0502099	38,690969	38,651361	-0,062
1,0552164	39,448005	39,408316	-0,062
1,060081	40,271415	40,231646	-0,062
