T,Cp,Field
K,,T
0.65965,4739.9458,0.39999
0.67351,4889.7435,0.39999
0.68738,5055.1856,0.39999
0.70124,5215.3332,0.39999
0.7151,5410.1662,0.39999
0.72896,5526.7074,0.39999
0.74282,5701.0025,0.39999
0.75668,5885.1358,0.39999
0.77054,6076.7389,0.39999
0.78441,6340.7685,0.39999
0.79827,6485.6158,0.39999
0.81213,6691.256,0.39999
0.82599,6903.4085,0.39999
0.83985,7103.1415,0.39999
0.85371,7330.6346,0.39999
0.86758,7588.9309,0.39999
0.88144,7711.8914,0.39999
0.8953,7941.3977,0.39999
0.90916,8214.2951,0.39999
0.92302,8542.1105,0.39999
0.93688,8975.7086,0.39999
0.95074,9519.0668,0.39999
0.96461,9961.7136,0.39999
0.97847,10551.665,0.39999
0.99233,11212.652,0.39999
1.00619,11925.948,0.39999
1.02005,12677.538,0.39999
1.03391,13480.635,0.39999
1.04778,14829.632,0.39999
1.06164,16900.358,0.39999
1.0755,15524.804,0.39999
1.08936,13041.106,0.39999
1.10322,12229.644,0.39999
1.11708,12008.744,0.39999
1.13094,11728.486,0.39999
1.14481,11631.707,0.39999
1.15867,11532.671,0.39999
1.17253,11505.43,0.39999
1.18639,11606.619,0.39999
1.20025,11659.647,0.39999
1.21411,11693.801,0.39999
1.22798,11826.162,0.39999
1.24184,12015.522,0.39999
1.2557,12387.007,0.39999
1.26956,12952.671,0.39999
1.28342,11623.345,0.39999
1.29728,9602.7522,0.39999
1.31114,8645.3297,0.39999
1.32501,8035.4606,0.39999
1.33887,7598.4692,0.39999
1.35273,7351.5414,0.39999
1.36659,7094.4714,0.39999
1.38045,6827.8976,0.39999
1.39431,6675.9738,0.39999
1.40818,6501.1779,0.39999
1.42204,6281.0906,0.39999
1.4359,6150.6862,0.39999
1.44976,6015.514,0.39999
1.46362,5826.7272,0.39999
1.47748,5726.247,0.39999
1.49134,5620.0385,0.39999
1.50521,5473.4721,0.39999
1.51907,5383.2424,0.39999
1.53293,5268.734,0.39999
1.54679,5173.531,0.39999
1.56065,5050.9507,0.39999
0.68927,5066.3683,0.39999
0.70469,5236.8041,0.39999
0.72012,5419.6431,0.39999
0.73554,5618.7856,0.39999
0.75096,5836.8161,0.39999
0.76639,6076.1425,0.39999
0.78181,6274.3248,0.39999
0.79723,6486.542,0.39999
0.81266,6714.5717,0.39999
0.82808,6960.3006,0.39999
0.8435,7190.1807,0.39999
0.85893,7434.0554,0.39999
0.87435,7694.0445,0.39999
0.88977,7977.3496,0.39999
0.9052,8289.8022,0.39999
0.92062,8643.4201,0.39999
0.93604,9063.7776,0.39999
0.95147,9552.7381,0.39999
0.96689,10118.327,0.39999
0.98231,10760.452,0.39999
0.99774,11484.891,0.39999
1.01316,12294.12,0.39999
1.02858,13294.435,0.39999
1.04401,14688.41,0.39999
1.05943,15596.632,0.39999
1.07485,14890.497,0.39999
1.09028,13665.145,0.39999
1.1057,12650.35,0.39999
1.12112,12110.09,0.39999
1.13655,11792.636,0.39999
1.15197,11676.409,0.39999
1.16739,11612.904,0.39999
1.18282,11596.958,0.39999
1.19824,11632.335,0.39999
1.21366,11732.56,0.39999
1.22909,11901.718,0.39999
1.24451,12202.098,0.39999
1.25993,12283.484,0.39999
1.27536,11585.659,0.39999
1.29078,10484.157,0.39999
1.3062,9334.8403,0.39999
1.32163,8484.1662,0.39999
1.33705,7859.2666,0.39999
1.35247,7460.0785,0.39999
1.3679,7135.3058,0.39999
1.38332,6864.4076,0.39999
1.39874,6637.8144,0.39999
1.41417,6429.8131,0.39999
1.42959,6244.6758,0.39999
1.44501,6073.9338,0.39999
1.46044,5912.992,0.39999
1.47586,5764.8744,0.39999
1.49128,5626.188,0.39999
1.50671,5495.9715,0.39999
1.52213,5372.8007,0.39999
1.53755,5259.1836,0.39999
1.55298,5151.5306,0.39999
1.5684,5043.7604,0.39999
1.58382,4944.1645,0.39999
1.59925,4850.0282,0.39999
1.61467,4760.9298,0.39999
