T(K), B(T), HC 
1.12631, -1e-05, 68546.1862823416 
1.28252, -1e-05, 49017.17311273569 
1.12332, 0.19998, 57065.73871984659 
1.1205, 0.39997, 55886.23698366423 
1.26576, 0.39997, 46023.038963310515 
1.11732, 0.59997, 52970.65293203713 
1.26453, 0.59997, 45604.98125672583 
1.10828, 0.79998, 49445.643133585225 
1.26764, 0.79998, 45346.80639376378 
1.09347, 0.99998, 45523.44528598074 
1.27501, 0.99998, 45126.647228523994 
1.07093, 1.19997, 40710.261669123756 
1.282, 1.19997, 45054.21481644875 
1.06597, 1.39998, 36451.82147170487 
1.28898, 1.39998, 44690.85605205663 
1.05277, 1.59997, 34679.80634936315 
1.29837, 1.59997, 45150.97171790251 
1.3046, 1.79989, 44994.467250513495 
1.31505, 1.99976, 45387.45340147419 
1.32549, 2.19999, 46348.78376225299 
1.34498, 2.39986, 50247.37148255163 
1.33776, 2.59981, 47752.908967049225 
1.12556, 0.05003, 67534.30894001405 
1.27955, 0.05003, 48440.93016413932 
1.12276, 0.09999, 61166.6767187423 
1.12396, 0.14998, 59957.59089114536 
1.12034, 0.24997, 62399.90100521822 
1.27248, 0.24997, 47308.60841729206 
1.33575, 2.80025, 47222.21080562689 
1.3407, 2.99986, 50114.398276835425 
1.32734, 3.19981, 48403.18696086984 
1.31151, 3.39993, 47155.57903659988 
1.28814, 3.59982, 45408.662606437065 
1.25402, 3.79982, 41670.25582917095 
1.21832, 3.99983, 39180.45071175209 
1.16469, 4.19983, 33198.07191231194 
1.12993, 4.3997, 33275.52301187481 
1.09181, 4.59974, 33196.55996407609 
1.02616, 4.79975, 28535.31988783375 
0.97356, 5.00009, 26639.254388015514 
