T(K), B(T), HC 
1.26244, 0.39999, 12665.486460685448 
1.05935, 0.39999, 14799.621258136272 
1.04145, 0.49999, 16020.300160064075 
1.26523, 0.49999, 12404.662579138856 
1.02085, 0.59999, 15076.781501185638 
1.27204, 0.59999, 12105.272837318735 
0.9955, 0.69999, 13476.991893768614 
1.28335, 0.69999, 11870.483302823504 
0.97067, 0.79998, 11499.849325229048 
1.29783, 0.79998, 11737.749957519332 
0.88088, 0.89999, 9531.75426355089 
1.14703, 0.89999, 11072.625913840979 
1.30943, 0.89999, 11632.914206587886 
0.80512, 0.99998, 8747.837014250625 
1.19613, 0.99998, 11309.20991433232 
1.32062, 0.99998, 11480.42007300741 
0.75503, 1.09983, 6922.320404402987 
1.24917, 1.09983, 11756.229666338526 
1.33745, 1.09983, 12093.772440178076 
0.66592, 1.1998, 6107.832179924609 
1.28211, 1.1998, 13178.47169239867 
1.36309, 1.1998, 12976.725207783584 
1.31984, 1.29983, 14100.895180484034 
1.38062, 1.29983, 14240.00096841876 
1.33849, 1.39998, 15683.144854460405 
1.39127, 1.39998, 15671.33857930685 
1.35851, 1.49988, 17414.37533948428 
1.40367, 1.49988, 17709.149604005383 
1.3995, 1.69992, 22524.23241499075 
1.39296, 1.7999, 25972.25398446478 
1.38328, 1.99985, 29478.61518979201 
1.31075, 2.39978, 27487.768925970515 
1.28258, 2.49987, 26101.788782311687 
1.21403, 2.69986, 20993.560304745904 
1.17198, 2.79995, 18518.499883593882 
1.14933, 2.84984, 17139.45109480221 
1.12834, 2.8998, 15828.38879446848 
1.10557, 2.94988, 14710.023549857295 
1.07874, 2.99976, 14157.055924531687 
1.05758, 3.04987, 15673.194603306225 
1.0527, 3.09978, 16302.951086864776 
1.03949, 3.19989, 14850.0900547306 
1.0264, 3.39984, 11276.776013824314 
1.01199, 3.59982, 10078.955382314973 
0.98472, 3.79975, 9337.447974918003 
0.9539, 3.99974, 8714.668529138813 
0.91646, 4.19993, 8120.852042291081 
0.87402, 4.39981, 7539.840946973205 
0.82764, 4.59984, 6978.309772542703 
0.77768, 4.79976, 6383.966241006291 
0.71977, 4.99975, 5814.577384172266 
0.6622, 5.19986, 5180.861544494749 
0.60209, 5.39987, 4529.176951615951 
0.55806, 5.59978, 3756.05133414738 
1.11121, 0.0, 18482.90877280837 
1.2708, 0.0, 13698.2440260842 
0.77407, 4.79976, 6462.1632195984175 
0.71795, 4.99975, 5917.172801550286 
0.6622, 5.19986, 5323.786218126531 
0.60176, 5.39987, 4662.087996828037 
0.8206, 3.79975, 6723.65464564152
0.9164, 3.59982, 8451.78946546821
0.9793, 3.39984, 10816.74538945611
0.751, 1, 
1.02667, 3.0834, 
