H [T],T1 [K],T2 [K]
0,1.2830637,1.1258113
0.05,1.2803114,1.1265052
0.2,1.2682564,1.1226839
0.4,1.2709228,1.1240535
0.6,1.2648213,1.1192799
0.8,1.2679475,1.1144079
1,1.2749122,1.0895887
1.2,1.2792069,1.0708234
1.4,1.2889322,
1.6,1.2935988,
1.8,1.2990701,
2,1.316381,
2.2,1.3327881,
2.4,1.3465905,
2.6,1.3347662,
3,1.3371089,
3.2,1.3291478,
3.4,1.315063,
3.6,1.2839816,
3.8,1.2564405,
4,1.2119753,
4.2,1.1614684,
4.4,1.1286091,
4.6,1.0848154,
4.8,1.0351479,
5,0.96530486,
5.2,0.8816118,
