H [T], T
0,1.0924149
0,1.2374296
0.4,1.06476
0.4,1.26525
0.5,0.81473423
0.5,1.0410344
0.5,1.2673346
0.6,0.81265147
0.6,1.0195674
0.6,1.2724647
0.7,0.8103901
0.7,0.99766657
0.7,1.2785813
0.8,0.80753175
0.8,0.97464938
0.8,1.2850107
0.9,1.0238788
0.9,1.1456779
0.9,0.87772001
0.9,1.3161965
1,1.0250642
1,1.1993553
1,0.80097571
1,1.3238489
1.1,1.03627
1.1,1.2285
1.1,0.76713249
1.1,1.34386
1.2,0.8041437
1.2,1.03033
1.2,1.2816425
1.2,0.67848611
1.2,1.3570371
1.3,0.80777615
1.3,1.0282
1.3,1.32211
1.3,1.37109
1.4,0.81112945
1.4,1.02489
1.4,1.33365
1.4,0.62112132
1.4,1.38115
1.5,0.82030979
1.5,1.3523502
1.5,1.3966869
1.6,0.9781857
1.6,0.52154079
1.7,0.97486795
1.7,1.3888559
1.8,1.3841974
2,0.86483954
2,1.3890143
2.4,1.3218793
2.4,0.86515772
2.5,1.276809
2.5,0.88185834
2.6,1.2138368
2.6,0.91879208
2.7,1.2051113
2.8,1.1825173
2.85,1.1505526
2.9,1.1262939
2.95,1.102703
3,1.0791549
3.05,1.0579926
3.1,1.0492251
3.2,1.0328708
3.4,1.0165514
3.6,1.0147559
3.6,0.86520673
3.8,0.99550278
3.8,0.77980881
4,0.95430534
4,0.671336
4.2,0.90875813
4.2,0.602445
4,0.95430534
4.2,0.90875813
4.4,0.86629492
4.6,0.82152239
4.8,0.77240204
5,0.71776438
5.2,0.65429692
5.2,0.991159
5.4,0.60166825
5.4,0.98736772
5.6,0.530828
5.6,0.99757314
5.8,1.0157408
5.8,0.664848
6,0.78210904
6,1.0286153
6,0.64765111
6.2,0.76687424
6.2,1.0097745
6.2,0.63438317
6.4,0.78122534
6.4,1.0273747
6.4,0.624585
6.6,0.76189872
6.6,1.0150207
6.6,0.623832
6.8,0.76568487
6.8,1.0043744
6.8,0.622471
7,0.77183255
7,1.0155438
7,0.625606
7.2,0.77389912
7.2,1.0246836
7.2,0.648507
7.4,0.7583402
7.4,1.0271738
7.6,0.75294023
7.6,1.0206939
7.8,0.7850294
7.8,1.020451
8,1.0296939
8.2,1.0319092
8.4,1.0381728
8.6,1.0434758
8.8,1.0434201
9,1.05404
